model,property,category,question,answer,probability
bert_large,purifies water,purpose,An animal that ,,
bert_large,enables decomposition,purpose,An animal that ,,
bert_large,makes honey,purpose,An animal that ,,
bert_large,aerates soil,purpose,An animal that ,,
bert_large,pointy ears,biological,An animal that ,,
bert_large,long legs,biological,An animal that ,,
bert_large,hair,biological,An animal that ,,
bert_large,warm blooded,biological,An animal that ,,
bert_large,jump,behavior,An animal that ,,
bert_large,swim,behavior,An animal that ,,
bert_large,chew,behavior,An animal that ,,
bert_large,run,behavior,An animal that ,,
bert_large,pair bond,social,An animal that ,,
bert_large,follow dominant group member,social,An animal that ,,
bert_large,cooperates with group members,social,An animal that ,,
bert_large,share food with group members,social,An animal that ,,
