workerid,proliferate.condition,age,ethnicity,gender,race,error
2910,condition 1,34,Non-Hispanic,Female,White,
2855,condition 1,41,Non-Hispanic,Female,White,
2891,condition 1,27,Non-Hispanic,Female,White,
2918,condition 1,48,Non-Hispanic,Female,White,
2893,condition 1,21,Non-Hispanic,Male,White,
2936,condition 1,24,Non-Hispanic,Female,White,
2940,condition 1,20,Non-Hispanic,Male,Asian,
2883,condition 1,22,Hispanic,Male,White,
2930,condition 1,48,Non-Hispanic,Female,White,
2869,condition 1,24,Non-Hispanic,Female,White,
2908,condition 1,31,Non-Hispanic,Male,other_race,
2943,condition 1,30,Non-Hispanic,Female,White,
2906,condition 1,22,Non-Hispanic,Male,White,
2949,condition 1,38,Non-Hispanic,Female,other_race,
2897,condition 1,44,Non-Hispanic,Female,White,
2953,condition 1,23,Hispanic,Non-binary,White,
2887,condition 1,22,Non-Hispanic,Male,White,
2879,condition 1,22,Hispanic,Female,other_race,
2873,condition 1,20,Non-Hispanic,Female,Black/African American,
2857,condition 1,34,Non-Hispanic,Male,White,
2912,condition 1,27,Non-Hispanic,Male,Asian,
2877,condition 1,53,Non-Hispanic,Male,White,
2938,condition 1,50,Non-Hispanic,Male,Asian,
2861,condition 1,27,Non-Hispanic,Male,White,
2924,condition 1,26,Non-Hispanic,Female,Asian,
2867,condition 1,34,Non-Hispanic,Male,White,
2859,condition 1,51,Non-Hispanic,Male,Asian,
2881,condition 1,28,Non-Hispanic,Male,Asian,
2895,condition 1,49,Non-Hispanic,Male,White,
2914,condition 1,46,Non-Hispanic,Male,Black/African American,
2904,condition 1,19,Non-Hispanic,Male,White,
2875,condition 1,61,Non-Hispanic,Female,White,
2916,condition 1,29,Hispanic,Male,White,
2863,condition 1,20,Hispanic,Female,White,
2885,condition 1,24,Non-Hispanic,Male,White,
2865,condition 1,56,Non-Hispanic,Female,White,
2951,condition 1,31,Non-Hispanic,Male,Asian,
2900,condition 1,35,Non-Hispanic,Female,White,
2902,condition 1,25,Non-Hispanic,Male,White,
2955,condition 1,63,Non-Hispanic,Female,White,
2920,condition 1,56,Non-Hispanic,Female,White,
2945,condition 1,24,Non-Hispanic,Non-binary,White,
2934,condition 1,46,Non-Hispanic,Male,White,
2889,condition 1,24,Non-Hispanic,Male,Black/African American,
2926,condition 1,44,Non-Hispanic,Female,White,
2928,condition 1,20,Hispanic,Male,White,
2871,condition 1,38,Non-Hispanic,Male,White,
2932,condition 1,49,Non-Hispanic,Female,White,
2947,condition 1,55,Non-Hispanic,Female,White,
2958,condition 2,25,Non-Hispanic,Female,Asian,
2933,condition 2,25,Non-Hispanic,Male,Black/African American,
2878,condition 2,25,Non-Hispanic,Male,Asian,
2898,condition 2,43,Non-Hispanic,Female,White,
2901,condition 2,40,Non-Hispanic,Female,White,
2880,condition 2,37,Non-Hispanic,Non-binary,White,
2935,condition 2,43,Non-Hispanic,Male,White,
2868,condition 2,27,Non-Hispanic,Male,Asian,
2874,condition 2,25,Hispanic,Female,White,
2870,condition 2,21,Non-Hispanic,Female,White,
2944,condition 2,30,Non-Hispanic,Female,Black/African American,
2856,condition 2,21,Non-Hispanic,Male,White,
2946,condition 2,41,Non-Hispanic,Female,White,
2939,condition 2,29,Non-Hispanic,Male,White,
2929,condition 2,40,Non-Hispanic,Male,White,
2864,condition 2,32,Non-Hispanic,Female,Asian,
2950,condition 2,35,Non-Hispanic,Female,White,
2919,condition 2,47,Non-Hispanic,Female,White,
2942,condition 2,57,Non-Hispanic,Male,Black/African American,
2894,condition 2,35,Non-Hispanic,Male,White,
2954,condition 2,50,Non-Hispanic,Female,White,
2896,condition 2,58,Non-Hispanic,Female,White,
2913,condition 2,23,Non-Hispanic,Male,White,
2907,condition 2,21,Hispanic,Non-binary,White,
2959,condition 2,49,Non-Hispanic,Male,White,
2884,condition 2,36,Non-Hispanic,Female,White,
2927,condition 2,24,Non-Hispanic,Female,White,
2937,condition 2,19,Non-Hispanic,Female,White,
2915,condition 2,26,Non-Hispanic,Female,White,
2948,condition 2,31,Non-Hispanic,Female,White,
2876,condition 2,23,Hispanic,Male,other_race,
2892,condition 2,47,Non-Hispanic,Female,White,
2862,condition 2,28,Non-Hispanic,Male,White,
2886,condition 2,53,Non-Hispanic,Female,White,
2903,condition 2,23,Hispanic,Female,White,
2923,condition 2,50,Hispanic,Male,White,
2925,condition 2,22,Non-Hispanic,Male,Asian,
2872,condition 2,31,Non-Hispanic,Male,White,
2854,condition 2,20,Non-Hispanic,Male,White,
2860,condition 2,30,Non-Hispanic,Female,White,
2911,condition 2,48,Non-Hispanic,Male,White,
2890,condition 2,29,Hispanic,Male,White,
2931,condition 2,32,Non-Hispanic,Female,Asian,
2952,condition 2,30,Non-Hispanic,Male,White,
2888,condition 2,37,Non-Hispanic,Female,White,
2905,condition 2,33,Non-Hispanic,Female,White,
2899,condition 2,45,,Female,White,
2941,condition 2,23,Hispanic,Male,White,
2957,condition 2,40,Hispanic,Male,White,
2921,condition 2,18,Non-Hispanic,Male,Asian,
2858,condition 2,24,Non-Hispanic,Female,White,
