model,property,category,question,answer,probability
roberta_large,purifies water,purpose,An animal that ,,
roberta_large,enables decomposition,purpose,An animal that ,,
roberta_large,makes honey,purpose,An animal that ,,
roberta_large,aerates soil,purpose,An animal that ,,
roberta_large,pointy ears,biological,An animal that ,,
roberta_large,long legs,biological,An animal that ,,
roberta_large,hair,biological,An animal that ,,
roberta_large,warm blooded,biological,An animal that ,,
roberta_large,jump,behavior,An animal that ,,
roberta_large,swim,behavior,An animal that ,,
roberta_large,chew,behavior,An animal that ,,
roberta_large,run,behavior,An animal that ,,
roberta_large,pair bond,social,An animal that ,,
roberta_large,follow dominant group member,social,An animal that ,,
roberta_large,cooperates with group members,social,An animal that ,,
roberta_large,share food with group members,social,An animal that ,,
