workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,response_behavioral,response_biological,response_purpose,response_social,error
2826,condition 1,1,generic,Vulpan,biological,purpose,behavioral,social,enable decomposition,jump,are warm blooded,share food with group members,Xan,purpose,biological,behavioral,social,have pointy ears,aerate soil,run,pair bond,2,4,1,0,
2826,condition 1,1,generic,Jig,behavioral,social,purpose,biological,chew,follow the dominant group member,make honey,have long legs,Zerp,social,purpose,behavioral,biological,cooperate with group members,purify water,swim,have hair,2,2,2,0,
2774,condition 1,1,generic,Xan,behavioral,purpose,social,biological,run,aerate soil,pair bond,have pointy ears,Vulpan,purpose,biological,social,behavioral,enable decomposition,are warm blooded,share food with group members,jump,1,2,1,1,
2774,condition 1,1,generic,Zerp,biological,behavioral,purpose,social,have hair,swim,purify water,cooperate with group members,Jig,social,biological,purpose,behavioral,follow the dominant group member,have long legs,make honey,chew,2,3,3,2,
2829,condition 1,1,generic,Vulpan,social,biological,purpose,behavioral,share food with group members,are warm blooded,enable decomposition,jump,Xan,behavioral,biological,social,purpose,run,have pointy ears,pair bond,aerate soil,0,5,1,5,
2829,condition 1,1,generic,Jig,behavioral,biological,social,purpose,chew,have long legs,follow the dominant group member,make honey,Zerp,behavioral,purpose,biological,social,swim,purify water,have hair,cooperate with group members,1,,2,5,
2816,condition 1,0,generic,Vulpan,purpose,social,biological,behavioral,enable decomposition,share food with group members,are warm blooded,jump,Xan,social,behavioral,biological,purpose,pair bond,run,have pointy ears,aerate soil,1,1,3,1,
2816,condition 1,0,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Zerp,purpose,biological,behavioral,social,purify water,have hair,swim,cooperate with group members,2,1,3,1,
2805,condition 1,1,generic,Jig,behavioral,social,biological,purpose,chew,follow the dominant group member,have long legs,make honey,Vulpan,social,biological,purpose,behavioral,share food with group members,are warm blooded,enable decomposition,jump,0,1,1,0,
2805,condition 1,1,generic,Xan,social,purpose,behavioral,biological,pair bond,aerate soil,run,have pointy ears,Zerp,purpose,behavioral,social,biological,purify water,swim,cooperate with group members,have hair,2,0,1,0,
2754,condition 1,1,generic,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,Vulpan,biological,purpose,behavioral,social,are warm blooded,enable decomposition,jump,share food with group members,2,2,2,2,
2754,condition 1,1,generic,Zerp,behavioral,biological,purpose,social,swim,have hair,purify water,cooperate with group members,Jig,biological,purpose,social,behavioral,have long legs,make honey,follow the dominant group member,chew,2,2,2,2,
