workerid,proliferate.condition,comprehension_check,expCondition,item_0,item_0_categorization_0,item_0_categorization_1,item_0_categorization_2,item_0_categorization_3,item_0_property_0,item_0_property_1,item_0_property_2,item_0_property_3,item_1,item_1_categorization_0,item_1_categorization_1,item_1_categorization_2,item_1_categorization_3,item_1_property_0,item_1_property_1,item_1_property_2,item_1_property_3,offspring_behavioral,offspring_biological,offspring_purpose,offspring_social,error
4215,condition 1,1,generic,Vulpan,biological,social,behavioral,purpose,are warm blooded,share food with group members,jump,enable decomposition,Zerp,social,biological,purpose,behavioral,cooperate with group members,have hair,purify water,swim,1,1,1,1,
4215,condition 1,1,generic,Jig,biological,social,purpose,behavioral,make honey,follow the dominant group member,have long legs,chew,Xan,behavioral,biological,social,purpose,run,pair bond,have pointy ears,aerate soil,2,1,2,2,
4148,condition 1,1,generic,Zerp,purpose,biological,social,behavioral,purify water,have hair,cooperate with group members,swim,Vulpan,behavioral,biological,purpose,social,jump,are warm blooded,enable decomposition,share food with group members,5,1,4,2,
4148,condition 1,1,generic,Jig,behavioral,social,purpose,biological,chew,follow the dominant group member,make honey,have long legs,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,2,1,2,1,
4204,condition 1,1,generic,Zerp,biological,social,purpose,behavioral,have hair,cooperate with group members,purify water,swim,Vulpan,social,biological,purpose,behavioral,share food with group members,are warm blooded,enable decomposition,jump,2,2,2,2,
4204,condition 1,1,generic,Jig,behavioral,biological,purpose,social,chew,have long legs,make honey,follow the dominant group member,Xan,biological,purpose,behavioral,social,have pointy ears,aerate soil,run,pair bond,2,2,2,2,
4223,condition 1,1,generic,Vulpan,behavioral,social,purpose,biological,jump,share food with group members,enable decomposition,are warm blooded,Zerp,behavioral,purpose,biological,social,swim,purify water,have hair,cooperate with group members,1,1,5,1,
4223,condition 1,1,generic,Jig,biological,behavioral,purpose,social,have long legs,chew,make honey,follow the dominant group member,Xan,social,purpose,biological,behavioral,pair bond,aerate soil,have pointy ears,run,1,1,5,1,
4230,condition 1,1,generic,Jig,social,purpose,behavioral,biological,follow the dominant group member,make honey,chew,have long legs,Vulpan,behavioral,purpose,social,biological,jump,enable decomposition,share food with group members,are warm blooded,2,4,4,2,
4230,condition 1,1,generic,Zerp,social,behavioral,purpose,biological,cooperate with group members,swim,purify water,have hair,Xan,purpose,behavioral,social,biological,aerate soil,run,pair bond,have pointy ears,2,2,3,2,
4163,condition 1,1,generic,Zerp,purpose,social,behavioral,biological,purify water,cooperate with group members,swim,have hair,Vulpan,purpose,social,biological,behavioral,enable decomposition,share food with group members,are warm blooded,jump,1,3,4,3,
4163,condition 1,1,generic,Xan,social,behavioral,purpose,biological,pair bond,run,aerate soil,have pointy ears,Jig,social,behavioral,biological,purpose,follow the dominant group member,chew,have long legs,make honey,4,2,4,3,
4171,condition 1,1,generic,Vulpan,social,biological,behavioral,purpose,share food with group members,are warm blooded,jump,enable decomposition,Zerp,purpose,social,behavioral,biological,purify water,cooperate with group members,swim,have hair,2,1,1,1,
4171,condition 1,1,generic,Jig,purpose,behavioral,social,biological,make honey,chew,follow the dominant group member,have long legs,Xan,social,behavioral,biological,purpose,pair bond,run,have pointy ears,aerate soil,2,1,5,1,
4191,condition 1,1,generic,Jig,biological,behavioral,social,purpose,have long legs,chew,follow the dominant group member,make honey,Vulpan,behavioral,purpose,biological,social,jump,enable decomposition,are warm blooded,share food with group members,1,1,4,1,
4191,condition 1,1,generic,Xan,purpose,biological,social,behavioral,aerate soil,have pointy ears,pair bond,run,Zerp,biological,purpose,social,behavioral,have hair,purify water,cooperate with group members,swim,2,1,4,0,
4217,condition 1,1,generic,Vulpan,social,purpose,behavioral,biological,share food with group members,enable decomposition,jump,are warm blooded,Xan,biological,social,behavioral,purpose,have pointy ears,pair bond,run,aerate soil,2,2,2,2,
4217,condition 1,1,generic,Zerp,biological,social,purpose,behavioral,have hair,cooperate with group members,purify water,swim,Jig,behavioral,social,purpose,biological,chew,follow the dominant group member,make honey,have long legs,2,2,2,2,
4139,condition 1,1,generic,Vulpan,biological,behavioral,purpose,social,are warm blooded,jump,enable decomposition,share food with group members,Jig,behavioral,purpose,social,biological,make honey,chew,follow the dominant group member,have long legs,4,5,1,3,
4139,condition 1,1,generic,Zerp,social,biological,behavioral,purpose,cooperate with group members,have hair,purify water,swim,Xan,purpose,behavioral,biological,social,aerate soil,run,have pointy ears,pair bond,3,2,5,3,
4159,condition 1,1,generic,Zerp,behavioral,biological,social,purpose,cooperate with group members,swim,have hair,purify water,Vulpan,social,behavioral,biological,purpose,jump,share food with group members,are warm blooded,enable decomposition,1,1,1,1,
