workerid,proliferate.condition,age,ethnicity,feedback,gender,race,error
4215,condition 1,22,Non-Hispanic,,Male,White,
4148,condition 1,24,Non-Hispanic,,Male,White,
4204,condition 1,34,Non-Hispanic,,Female,White,
4223,condition 1,30,Non-Hispanic,,Male,White,
4230,condition 1,31,Non-Hispanic,I thought a bit about what traits might be learned - like behavior/social things,Female,White,
4163,condition 1,20,Non-Hispanic,,Female,Asian,
4171,condition 1,22,Hispanic,Purpose seemed to be the most important determining what they were,Male,White,
4191,condition 1,21,Non-Hispanic,"Some pairs of traits were ""closer together"". For example pair bonds and cooperates were fairly close. Swims and runs were further apart.",Female,Asian,
4217,condition 1,29,Non-Hispanic,Number of traits reminiscent of the parent species,Male,White,
4139,condition 1,72,Hispanic,,Female,White,
4159,condition 1,20,Non-Hispanic,Thank you!,Female,White,
4177,condition 1,28,Non-Hispanic,"I think the offspring are a new thing altogether, a combination of both.",Male,White,
4235,condition 1,34,Non-Hispanic,"I figured if 3 of the 4 traits were like one parent, it was largely that parent, regardless of whether the trait that was different was social, behavioral, purpose, or biological. ",Female,Asian,
4181,condition 1,28,Hispanic,"If the offspring had more traits from one side, I chose that side.",Female,other_race,
4175,condition 1,57,Non-Hispanic,"If they had the same biological properties as the dominant species, then I paired them more as belonging to that species.",,Black/African American,
4137,condition 1,72,Non-Hispanic,"Mostly my feeling about the offspring, did it feel more one than the other and how heavily did I lean that way. ",Female,White,
4189,condition 1,36,Non-Hispanic,I responded unsure because the offspring had a mixture of traits. ,Female,White,
4197,condition 1,42,Non-Hispanic,,Male,White,
4219,condition 1,44,Non-Hispanic,,Female,White,
4213,condition 1,35,Non-Hispanic,decided how important the variance was to the total of the offsprings purpose,Female,White,
4206,condition 1,52,Non-Hispanic,"More of the biological. However, offspring can pick up many different traits from parents, biological or behavioral and I would consider them, for the most part, a mix of both.",Female,White,
4167,condition 1,30,Non-Hispanic,,Female,Black/African American,
4169,condition 1,30,Non-Hispanic,no,Female,Black/African American,
4173,condition 1,21,Non-Hispanic,If more than 2 factors were common with each species it made me hesitate more when answering the question,Male,Asian,
4193,condition 1,20,Non-Hispanic,,Female,other_race,
4153,condition 1,34,Hispanic,I was trying to decide how much the offspring acted like either of the pairs.,Male,American Indian/Alaska Native,
4145,condition 1,24,Non-Hispanic,,Female,White,
4127,condition 1,20,Non-Hispanic,I thought that the offspring would be considered to be the species where they would fit in the best.,Male,White,
4143,condition 1,27,Non-Hispanic,I only considered which species' biological properties were conserved in making my decisions.,Male,White,
4209,condition 1,46,Non-Hispanic,"I know my answers sounded repetitive, but I always leaned toward the offspring being more of one type if its characteristics were 3/4 of that type.",Female,White,
4131,condition 1,25,Non-Hispanic,I mainly went off of the majority of traits and what the biological trait was.,Female,White,
4225,condition 1,43,Non-Hispanic,,Female,White,
4201,condition 1,21,Non-Hispanic,N/A,Female,White,
4157,condition 1,32,Non-Hispanic,Mostly whichever creature the offspring shared the most traits with was how I made my decision,Male,White,
4199,condition 1,50,Non-Hispanic,No comments,Female,White,
4161,condition 1,27,Non-Hispanic,If the inherited traits leaned toward one species over another that was how I decided. ,Male,White,
4183,condition 1,22,Non-Hispanic,I looked at which factors the offspring inherited and determined if features were significant enough to make them more similar to one parent over the other. ,Male,Asian,
4165,condition 1,33,Non-Hispanic,"A majority of traits makes it more likely to be that, though never assuredly.",Female,White,
